organisation_code,name,address1,address2,address3,city,county,postcode,opendate,closedate,telephone,practice_type
S20305,COWDENBEATH SURGERY,COWDENBEATH MEDICAL PRACTICE,173 STENHOUSE STREET,,COWDENBEATH,FIFE,KY4 9DH,19770801,,01383 518500,4
S20358,CROSSGATES MEDICAL PRACTICE,94 MAIN STREET,CROSSGATES,,COWDENBEATH,FIFE,KY4 8DF,19900401,,01383 511398,4
S20409,"DRS BLYTH,BURNETT,DOW,HARGREAVES,MACDONALD",EDEN VILLA PRACTICE,CUPAR HEALTH CENTRE,BANK STREET,CUPAR,FIFE,KY15 4JU,19731001,,01334 651223,4
S20413,BANK STREET MEDICAL GROUP,THE HEALTH CENTRE,BANK STREET,,CUPAR,FIFE,KY15 4JN,19900401,,01334 651201,4
S20451,NETHERTOWN SURGERY,ELLIOT STREET,,,DUNFERMLINE,FIFE,KY11 4TF,19630801,,01383 623516,4
S20466,NEW PARK MEDICAL PRACTICE,163 ROBERTSON ROAD,,,DUNFERMLINE,FIFE,KY12 0BL,19800801,,01383 629200,4
S20471,HOSPITAL HILL SURGERY,IZATT AVENUE,,,DUNFERMLINE,FIFE,KY11 3BA,19750701,,01383 731721,4
S20485,MILLHILL SURGERY,87 WOODMILL STREET,,,DUNFERMLINE,FIFE,KY11 4JW,19760401,,01383 621222,4
S20490,BELLYEOMAN SURGERY,BELLYEOMAN ROAD,,,DUNFERMLINE,FIFE,KY12 0AE,19830801,,01383 721266,4
S20502,LINBURN ROAD HEALTH CENTRE,124 NITH STREET,,,DUNFERMLINE,FIFE,KY11 4LT,20071112,,01383 733490,0
S20606,THE LOMOND PRACTICE,NAPIER ROAD,,,GLENROTHES,FIFE,KY6 1HL,19760901,,01592 765039,4
S20611,NORTH GLEN MEDICAL PRACTICE,1 HUNTSMAN'S COURT,,,GLENROTHES,FIFE,KY7 6SX,19860801,,01592 620062,4
S20630,THE GLENWOOD PRACTICE,GLENWOOD HEALTH CENTRE,NAPIER ROAD,,GLENROTHES,FIFE,KY6 1HL,19790101,,01592 765001,4
S20659,COS LANE SURGERY,WOODSIDE ROAD,,,GLENROTHES,FIFE,KY7 4AQ,19880401,,01592 752100,4
S20663,ROTHES MEDICAL PRACTICE,PITTEUCHAR HEALTH CENTRE,GLAMIS CENTRE,,GLENROTHES,FIFE,KY7 4RH,20020101,,01592 771177,4
S20729,VALLEYFIELD MEDICAL PRACTICE,THE HEALTH CENTRE,CHAPEL STREET,HIGH VALLEYFIELD,DUNFERMLINE,FIFE,KY12 8SJ,19960801,,01383 880511,4
S20752,INVERKEITHING MEDICAL GROUP,INVERKEITHING MEDICAL CENTRE,5 FRIARY COURT,,INVERKEITHING,FIFE,KY11 1NU,19750801,,01383 413234,4
S20803,KELTY MEDICAL PRACTICE,KELTY HEALTH CENTRE,80 MAIN STREET,,KELTY,FIFE,KY4 0AE,19781001,,01383 831281,4
S20856,KENNOWAY MEDICAL GROUP,JORDAN LANE,KENNOWAY,,LEVEN,FIFE,KY8 5JZ,19900401,,01333 350241,4
S20907,KINGHORN MEDICAL PRACTICE,ROSSLAND PLACE,KINGHORN,,BURNTISLAND,FIFE,KY3 9RT,19850302,,01592 890217,4
S20950,NICOL STREET SURGERY,48 NICOL STREET,,,KIRKCALDY,FIFE,KY1 1PH,19891001,,01592 642969,4
S20964,"DR ANDERSON,PARTNERS",KIRKCALDY HEALTH CENTRE,WHYTEMANS BRAE,,KIRKCALDY,FIFE,KY1 2NA,19780601,,01592 642902,4
S20979,BENNOCHY MEDICAL CENTRE,65 BENNOCHY ROAD,,,KIRKCALDY,FIFE,KY2 5RB,19781001,,01592 263332,4
S20983,ST BRYCEDALE SURGERY,ST BRYCEDALE ROAD,,,KIRKCALDY,FIFE,KY1 1ER,19790401,,01592 640800,4
S20998,PATH HOUSE MEDICAL PRACTICE,7 NETHER STREET,NETHER STREET,,KIRKCALDY,FIFE,KY1 2PG,19790701,,01592 805100,4
S21007,"DRS DIXON,DUGGAN,EGERTON,FLYNN,MCCRICKARD",KIRKCALDY HEALTH CENTRE,WHYTEMANS BRAE,,KIRKCALDY,FIFE,KY1 2NA,19741001,,01592 642178,4
S21011,"DRS MITCHELL,MORRIS,FORDYCE",KIRKCALDY HEALTH CENTRE,WHYTEMANS BRAE,,KIRKCALDY,FIFE,KY1 2NA,19900401,,01592 641203,4
S21026,DR C M MACGLONE,KIRKCALDY HEALTH CENTRE,WHYTEMANS BRAE,,KIRKCALDY,FIFE,KY1 2NA,19900401,,01592 640600,4
S21101,HOWE OF FIFE SURGERY,27 COMMERCIAL ROAD,LADYBANK,,CUPAR,FIFE,KY15 7JS,19900401,,01337 830765,4
S21153,LESLIE MEDICAL PRACTICE,ANDERSON DRIVE,LESLIE,,GLENROTHES,FIFE,KY6 3LQ,19770901,,01592 620222,4
S21204,"PITCAIRN PRACTICE LEUCHARS,BALMULLO",BALMULLO SURGERY,1 PITCAIRN DRIVE,BALMULLO,ST. ANDREWS,FIFE,KY16 0DZ,19891001,,01334 839210,4
S21257,"DR MCLAREN,PARTNERS",LEVEN HEALTH CENTRE,VICTORIA ROAD,,LEVEN,FIFE,KY8 4ET,19740701,,01333 432588,4
S21276,"DRS PAGE,CLARK,MCDONALD",LEVEN HEALTH CENTRE,,,LEVEN,FIFE,KY8 4ET,19940701,,01333 432555,4
S21281,AIRLIE MEDICAL PRACTICE,THE HEALTH CENTRE,VICTORIA ROAD,,LEVEN,FIFE,KY8 4ET,19940701,,01333 432577,4
S21308,DR CHAN,SURGERY,MAIN ROAD,CHARLESTOWN,DUNFERMLINE,FIFE,KY11 3ED,19900401,,01383 872201,4
S21346,"DRS CATTANACH,MARTINS DA SILVA,THOMPSON",THE HEALTH CENTRE,DAVID STREET,,LOCHGELLY,FIFE,KY5 9QZ,20070801,20120220,01592 780277,4
S21365,"DRS KIDD,CATTANACH,MARTINS DA SILVA",THE HEALTH CENTRE,DAVID STREET,,LOCHGELLY,FIFE,KY5 9QZ,20040701,20070731,01592 780277,4
S21370,DR K THOMPSON,LOCHGELLY HEALTH CENTRE,DAVID STREET,,LOCHGELLY,FIFE,KY5 9QZ,19900401,20070731,01592 780358,4
S21384,"DR MCKEAN,PARTNERS",LOCHGELLY HEALTH CENTRE,DAVID STREET,,LOCHGELLY,FIFE,KY5 9QZ,19940501,,01592 782783,4
S21421,"DRS ROBSON,CARLIN,BROWN",BENARTY MEDICAL CENTRE,54-58 LOCHLEVEN ROAD,LOCHORE,LOCHGELLY,FIFE,KY5 8DA,20040401,,01592 860463,4
S21435,LOCHGELLY MEDICAL GROUP,THE HEALTH CENTRE,DAVID STREET,,LOCHGELLY,FIFE,KY5 9QZ,20111101,,01592 780277,4
S21440,DR K THOMPSON,THE HEALTH CENTRE,DAVID STREET,,LOCHGELLY,FIFE,KY5 9QZ,20111101,,01592 782954,4
S21454,MARKINCH MEDICAL PRACTICE,19 HIGH STREET,MARKINCH,,GLENROTHES,FIFE,KY7 6ER,19830801,,01592 610640,4
S21505,METHILHAVEN SURGERY,361 METHILHAVEN ROAD,METHIL,,LEVEN,FIFE,KY8 3HR,19870801,,01333 426913,4
S21510,THE CANNONS PRACTICE,AJAX WAY,METHIL,,LEVEN,FIFE,KY8 3RS,19900401,,01333 426083,4
S21558,NEWBURGH SURGERY,116 HIGH STREET,NEWBURGH,,CUPAR,FIFE,KY14 6DA,19900401,,01337 840462,4
S21609,TAYVIEW MEDICAL PRACTICE,16 VICTORIA STREET,,,NEWPORT-ON-TAY,FIFE,DD6 8DJ,19891001,,01382 543251,4
S21651,INZIEVAR MEDICAL PRACTICE,OAKLEY HEALTH CENTRE,WARDLAW WAY,OAKLEY,DUNFERMLINE,FIFE,KY12 9QH,19860801,,01383 850212,4
S21666,"DRS BOGGON,HALFORD",OAKLEY HEALTH CENTRE,WARDLAW WAY,OAKLEY,DUNFERMLINE,FIFE,KY12 9QH,19900401,,01383 850293,4
S21736,"DR KYLE,PARTNERS",PITTENWEEM SURGERY,2 ROUTINE ROW,PITTENWEEM,ANSTRUTHER,FIFE,KY10 2LG,19920901,,01333 311307,4
S21755,PRIMROSE LANE MEDICAL CENTRE,3-5 JUTLAND STREET,ROSYTH,,DUNFERMLINE,FIFE,KY11 2ZL,19831203,,01383 414874,4
S21760,PARK ROAD PRACTICE,PARK ROAD SURGERY,PARK ROAD,ROSYTH,DUNFERMLINE,FIFE,KY11 2SE,19790801,,01383 418931,4
S21806,STRATHCAIRN MEDICAL PRACTICE,ST ANDREWS COMMUNITY HOSPITAL,LARGO ROAD,,ST. ANDREWS,FIFE,KY16 8AR,19870301,,01334 473441,4
S21811,FEDDINCH MEDICAL PRACTICE,ST ANDREWS COMMUNITY HOSPITAL,LARGO ROAD,,ST. ANDREWS,FIFE,KY16 8AR,19780301,,01334 476840,4
S21825,BLACKFRIARS MEDICAL PRACTICE,ST ANDREWS COMMUNITY HOSPITAL,LARGO ROAD,,ST. ANDREWS,FIFE,KY16 8AR,19801101,,01334 477477,4
S21859,FIFE CONSTABULARY,PHARMACY SERVICES PENTLAND HOUSE,LYNEBANK HOSPITAL,HALBEATH ROAD,DUNFERMLINE,FIFE,KY11 4UW,20020503,,,0
S21948,PCES,GLENROTHES HOSPITAL,1 LODGE RISE,,GLENROTHES,FIFE,KY7 5TG,20021104,,01592 748648,0
S21952,PCES,ST ANDREWS COMMUNITY HOSPITAL,LARGO ROAD,,ST. ANDREWS,FIFE,KY16 8AR,20100408,,01592 740240,0
S21967,PCES,VICTORIA HOSPITAL,HAYFIELD ROAD,,KIRKCALDY,FIFE,KY2 5AH,20100408,,01592 740240,0
S21971,PCES,QUEEN MARGARET HOSPITAL,WHITEFIELD ROAD,,DUNFERMLINE,FIFE,KY12 0SU,20100408,,01592 740240,0
S22000,SMOKING CESSATION CLINIC,WEST FIFE LHCC,HOUSE 4 LYNEBANK HOSPITAL,HALBEATH ROAD,DUNFERMLINE,FIFE,KY11 4UW,20030901,,,0
S22029,MINISTRY OF DEFENCE,1 TUTOR ROAD,LEUCHARS,,ST. ANDREWS,FIFE,KY16 0JW,20120220,,,0
S22033,DIRECT PATIENT CARE SERVICE,VICTORIA HOSPITAL,HAYFIELD ROAD,,KIRKCALDY,FIFE,KY2 5AH,20060306,,01592 643355,0
S22048,FIFE PAIN SERVICE,HOUSE 3,LYNEBANK HOSPITAL,HALBEATH ROAD,DUNFERMLINE,FIFE,KY11 4UW,20100401,,,0
S22052,HMS CALEDONIA ROSYTH,HILTON ROAD,ROSYTH,,DUNFERMLINE,FIFE,KY11 2EX,20120501,,01383 425412,0
S22391,PODIATRY SERVICE,CAMERON HOUSE,CAMERON BRIDGE,,LEVEN,FIFE,KY8 5RG,20140411,,01383 627164,0
S25012,"DR STIRLING,PARTNERS",HALLPARK ROAD,HALLPARK,SAUCHIE,ALLOA,CLACKMANNANSHIRE,FK10 3JQ,19880201,,01259 216476,4
S25027,HEALTH CENTRE PRACTICE 2,HALLPARK ROAD,HALLPARK,SAUCHIE,ALLOA,CLACKMANNANSHIRE,FK10 3JQ,19750301,,01259 724181,4
S25031,"DR BORLAND,PARTNERS CCHC",HALLPARK ROAD,HALLPARK,SAUCHIE,ALLOA,CLACKMANNANSHIRE,FK10 3JQ,19860401,,01259 216701,4
S25046,ALVA MEDICAL PRACTICE,WEST JOHNSTONE STREET,,,ALVA,CLACKMANNANSHIRE,FK12 5BD,19770801,,01259 760331,4
S25051,BALFRON HEALTH CENTRE,41-47 BUCHANAN STREET,BALFRON,,GLASGOW,LANARKSHIRE,G63 0TS,19750801,,01360 440515,4
S25065,EDENKILN SURGERY,12 DUMBROCK ROAD,STRATHBLANE,,GLASGOW,LANARKSHIRE,G63 9EF,19900401,,01360 770340,4
S25070,FORTHVIEW PRACTICE,HEALTH CENTRE,DEAN ROAD,,BO'NESS,WEST LOTHIAN,EH51 0DQ,19791201,,01506 822466,4
S25084,THE RICHMOND PRACTICE,DEAN ROAD,,,BO'NESS,WEST LOTHIAN,EH51 0DQ,19740901,,01506 822665,4
S25099,KINGLASS MEDICAL PRACTICE,KINGLASS CENTRE,GAUZE ROAD,,BO'NESS,WEST LOTHIAN,EH51 9UE,19900401,,01506 822556,4
S25101,BRIDGE OF ALLAN HEALTH CENTRE,FOUNTAIN ROAD,BRIDGE OF ALLAN,,STIRLING,STIRLINGSHIRE,FK9 4EU,19750401,,01786 833210,4
S25116,BRACKLINN PRACTICE,CALLANDER MEDICAL CENTRE,GEISHER ROAD,,CALLANDER,PERTHSHIRE,FK17 8LX,19900401,,01877 331001,4
S25121,LENY PRACTICE,CALLANDER MEDICAL CENTRE,GEISHER ROAD,,CALLANDER,PERTHSHIRE,FK17 8LX,19900401,,01877 331000,4
S25135,"CLACKMANNAN,KINCARDINE MEDICAL PRACTICE",MAIN STREET,,,CLACKMANNAN,CLACKMANNANSHIRE,FK10 4JA,19850501,,01259 723725,4
S25169,FALLIN HEALTH CENTRE,STIRLING ROAD,FALLIN,,STIRLING,STIRLINGSHIRE,FK7 7JD,19820801,,01786 812412,4
S25173,DENNY CROSS MEDICAL CENTRE,1 DUKE STREET,,,DENNY,STIRLINGSHIRE,FK6 6DB,19830406,,01324 822330,4
S25188,CARRONBANK MEDICAL PRACTICE,DENNY HEALTH CENTRE,CARRONBANK HOUSE,CARRONBANK CRESCENT,DENNY,STIRLINGSHIRE,FK6 6GD,19750801,,01324 822382,4
S25192,ANTONINE MEDICAL PRACTICE,LARBERT ROAD,,,BONNYBRIDGE,STIRLINGSHIRE,FK4 1ED,19830401,,01324 812315,4
S25205,BONNYBANK MEDICAL PRACTICE,BONNYBRIDGE HEALTH CENTRE,LARBERT ROAD,,BONNYBRIDGE,STIRLINGSHIRE,FK4 1ED,19790122,,01324 812613,4
S25210,DOLLAR HEALTH CENTRE,PARK PLACE,,,DOLLAR,CLACKMANNANSHIRE,FK14 7AA,19900401,,01259 742120,4
S25224,DOUNE HEALTH CENTRE,CASTLEHILL,,,DOUNE,PERTHSHIRE,FK16 6DR,19871001,,01786 841213,4
S25239,DRYMEN HEALTH CENTRE,2 OLD GARTMORE ROAD,DRYMEN,,GLASGOW,LANARKSHIRE,G63 0DP,19900401,20140731,01360 660203,4
S25243,DUNBLANE MEDICAL PRACTICE,HEALTH CENTRE,WELL PLACE,,DUNBLANE,PERTHSHIRE,FK15 9AL,19760807,,01786 822595,4
S25262,WALLACE MEDICAL CENTRE,254 THORNHILL ROAD,,,FALKIRK,STIRLINGSHIRE,FK2 7AZ,19781001,,01324 622826,4
S25277,ARK MEDICAL PRACTICE,9 BOOTH PLACE,,,FALKIRK,STIRLINGSHIRE,FK1 1BA,19900401,,01324 621113,4
S25281,MEEKS ROAD SURGERY,10 MEEKS ROAD,,,FALKIRK,STIRLINGSHIRE,FK2 7ES,19850801,,01324 619930,4
S25296,WESTBURN MEDICAL PRACTICE,FALKIRK COMMUNITYHOSPITAL,WESTBURN AVENUE,,FALKIRK,STIRLINGSHIRE,FK1 5SU,19860102,,01324 623577,4
S25309,GRAEME MEDICAL CENTRE,1 WESTERN AVENUE,,,FALKIRK,STIRLINGSHIRE,FK2 7HR,19850101,,01324 624437,4
S25313,CAMELON MEDICAL PRACTICE,3 BAIRD STREET,CAMELON,,FALKIRK,STIRLINGSHIRE,FK1 4PP,19820801,,01324 622854,4
S25332,BO'NESS ROAD MEDICAL PRACTICE,33 BO'NESS ROAD,,,GRANGEMOUTH,STIRLINGSHIRE,FK3 8AN,19841001,,01324 482653,4
S25347,KILLEARN HEALTH CENTRE,BALFRON ROAD,KILLEARN,,GLASGOW,LANARKSHIRE,G63 9NA,19790707,,01360 550339,4
S25351,KILLIN MEDICAL PRACTICE,LAGGAN LEIGHEAS,BALLECHROISK,,KILLIN,PERTHSHIRE,FK21 8TQ,19830401,,01567 820213,4
S25366,KIPPEN SURGERY,CASTLEHILL LOAN,KIPPEN,,STIRLING,STIRLINGSHIRE,FK8 3DZ,19560701,,01786 870369,4
S25390,VIEWPOINT MEDICAL PRACTICE,STENHOUSEMUIR HEALTH CENTRE,PARK DRIVE,STENHOUSEMUIR,LARBERT,STIRLINGSHIRE,FK5 3BB,19850801,,01324 552200,4
S25402,PARKVIEW PRACTICE,STENHOUSEMUIR HEALTH CENTRE,PARK DRIVE,STENHOUSEMUIR,LARBERT,STIRLINGSHIRE,FK5 3BB,19880801,,01324 554411,4
S25436,DR STEPHEN BROWN,MEADOWBANK HEALTH CENTRE,SALMON INN ROAD,POLMONT,FALKIRK,STIRLINGSHIRE,FK2 0XF,19900401,,01324 722454,4
S25441,POLMONT PARK MEDICAL PRACTICE,MEADOWBANK HEALTH CENTRE,SALMON INN ROAD,POLMONT,FALKIRK,STIRLINGSHIRE,FK2 0XF,19700801,,01324 715753,4
S25455,BRAESVIEW MEDICAL GROUP,MEADOWBANK HEALTH CENTRE,SALMON INN ROAD,POLMONT,FALKIRK,STIRLINGSHIRE,FK2 0XF,19740601,,01324 715540,4
S25460,"DR C WHITELAW,PARTNERS",MEADOWBANK HEALTH CENTRE,SALMON INN ROAD,POLMONT,FALKIRK,STIRLINGSHIRE,FK2 0XF,19810201,,01324 715446,4
S25474,SLAMANNAN MEDICAL PRACTICE,BANK STREET,SLAMANNAN,,FALKIRK,STIRLINGSHIRE,FK1 3EZ,19900401,,01324 851288,0
S25506,PARK TERRACE MEDICAL PRACTICE,7A PARK TERRACE,,,STIRLING,STIRLINGSHIRE,FK8 2JT,19750701,,01786 445 88,4
S25525,ORCHARD HOUSE HEALTH CENTRE,UNION STREET,,,STIRLING,STIRLINGSHIRE,FK8 1PH,19831031,,01786 450394,4
S25544,TILLICOULTRY MEDICAL PRACTICE,PARK STREET,,,TILLICOULTRY,CLACKMANNANSHIRE,FK13 6AG,19831008,,01259 750531,4
S25559,AIRTHREY PARK MEDICAL CENTRE,HERMITAGE ROAD,UNIVERSITY OF STIRLING,,STIRLING,STIRLINGSHIRE,FK9 4NJ,19870401,,01786 463831,4
S25563,GROUP MEDICAL PRACTICE,THE HEALTH CENTRE,KERSIEBANK AVENUE,,GRANGEMOUTH,STIRLINGSHIRE,FK3 9EL,19920201,20140331,08445 769111,4
S25578,GRANGE MEDICAL GROUP,THE HEALTH CENTRE,KERSIEBANK AVENUE,,GRANGEMOUTH,STIRLINGSHIRE,FK3 9EL,19920201,20140331,01324 665533,4
S25582,PARK AVENUE MEDICAL CENTRE,9 PARK AVENUE,,,STIRLING,STIRLINGSHIRE,FK8 2QR,19930401,,01786 473529,4
S25597,STENHOUSE PRACTICE,STENHOUSEMUIR HEALTH CENTRE,PARK DRIVE,STENHOUSEMUIR,LARBERT,STIRLINGSHIRE,FK5 3BB,19951001,,01324 570570,4
S25600,BANNOCKBURN HEALTH CENTRE,FIRS ENTRY,BANNOCKBURN,,STIRLING,STIRLINGSHIRE,FK7 0HW,19960401,,01786 813435,4
S25614,STRATHCARRON HOSPICE,RANDOLPH HILL,,,DENNY,STIRLINGSHIRE,FK6 5HJ,19960401,,01324 826222,0
S25629,ABERFOYLE MEDICAL CENTRE,MAIN STREET,ABERFOYLE,,STIRLING,STIRLINGSHIRE,FK8 3UQ,19960701,,01877 382421,4
S25633,BUCHLYVIE SURGERY,STATION ROAD,BUCHLYVIE,,STIRLING,STIRLINGSHIRE,FK8 3NB,19960701,,01877 382421,4
S25648,TRYST MEDICAL CENTRE,431 KING STREET,STENHOUSEMUIR,,LARBERT,STIRLINGSHIRE,FK5 4HT,19970701,,01324 551555,4
S25652,CARRON MEDICAL CENTRE,RONADES ROAD,BAINSFORD,,FALKIRK,STIRLINGSHIRE,FK2 7TA,19970701,,01324 619940,4
S25671,OCHILVIEW PRACTICE,STENHOUSEMUIR HEALTH CENTRE,PARK DRIVE,STENHOUSEMUIR,LARBERT,STIRLINGSHIRE,FK5 3BB,19990701,,01324 554136,4
S25686,ALLAN PARK MEDICAL PRACTICE,19 ALLAN PARK,,,STIRLING,STIRLINGSHIRE,FK8 2QD,20010101,,01786 451375,4
S25691,THE WALLACE MEDICAL PRACTICE,WALLACE HOUSE,MAXWELL PLACE,,STIRLING,STIRLINGSHIRE,FK8 1JU,20010101,,01786 448900,4
S25737,VIEWFIELD MEDICAL PRACTICE,3 VIEWFIELD PLACE,,,STIRLING,STIRLINGSHIRE,FK8 1NJ,20021115,,01786 472028,4
S25741,ST NINIANS MEDICAL PRACTICE,MAYFIELD STREET,ST NINIANS,,STIRLING,STIRLINGSHIRE,FK7 0BS,20021115,,01786 468282,4
S25794,GP OUT OF HOURS SERVICE,LIVILANDS GATE,STIRLING COMMUNITY HOSPITAL,,STIRLING,STIRLINGSHIRE,FK8 2AU,20040928,,0845 4242424,2
S25807,NHS FORTH VALLEY OOH SERVICE,HEALTH CENTRE,HALLPARK ROAD,SAUCHIE,ALLOA,CLACKMANNANSHIRE,FK10 3JQ,20040928,,0845 4242424,2
S25811,GP OUT OF HOURS SERVICE,MENTAL HEALTH UNIT,FORTH VALLEY ROYAL HOSPITAL,STIRLING ROAD,LARBERT,STIRLINGSHIRE,FK5 4WR,20040928,,0845 4242424,2
S25826,DIRECT PATIENT CARE SERVICE,"ACCIDENT,EMERGENCY DEPT",FORTH VALLEY ROYAL HOSPITAL,STIRLING ROAD,LARBERT,STIRLINGSHIRE,FK5 4WR,20041201,,01324 624000,0
S25864,KERSIEBANK MEDICAL PRACTICE,HEALTH CLINIC,21A KERSIEBANK AVENUE,,GRANGEMOUTH,STIRLINGSHIRE,FK3 9EL,20140401,,01324 665533,4
S25879,DRYMEN HEALTH CENTRE,2 OLD GARTMORE RD,DRYMEN,,GLASGOW,LANARKSHIRE,G63 0DP,20140801,,01360 660203,0
S30006,BELMONT MEDICAL GROUP,DENBURN HEALTH CENTRE,ROSEMOUNT VIADUCT,,ABERDEEN,ABERDEENSHIRE,AB25 1QB,19900101,20101206,0845 337 620,4
S30011,NORTHBURN MEDICAL PRACTICE,DENBURN HEALTH CENTRE,ROSEMOUNT VIADUCT,,ABERDEEN,ABERDEENSHIRE,AB25 1QB,19900401,20100331,01224 643333,4
S30030,GARTHDEE MEDICAL GROUP,HEALTH CENTRE,GARTHDEE ROAD,,ABERDEEN,ABERDEENSHIRE,AB10 7QQ,20040823,,01224 208312,4
S30044,VIADUCT MEDICAL PRACTICE,DENBURN HEALTH CENTRE,ROSEMOUNT VIADUCT,,ABERDEEN,ABERDEENSHIRE,AB25 1QB,19800401,20100331,01224 644744,4
S30059,HOLBURN MEDICAL GROUP,7 ALBYN PLACE,,,ABERDEEN,ABERDEENSHIRE,AB10 1YE,19940501,,01224 400800,4
S30078,DENBURN MEDICAL PRACTICE,DENBURN HEALTH CENTRE,ROSEMOUNT VIADUCT,,ABERDEEN,ABERDEENSHIRE,AB25 1QB,20100401,,01224 643333,4
S30082,WHINHILL MEDICAL PRACTICE,20 WHINHILL ROAD,,,ABERDEEN,ABERDEENSHIRE,AB11 7XH,20101207,,0845 337 620,0
S30100,FERRYHILL MEDICAL PRACTICE,193 BON ACCORD STREET,,,ABERDEEN,ABERDEENSHIRE,AB11 6UA,19900401,20101206,01224 587484,4
S30167,DIABETIC NURSE SERVICE,NHS GRAMPIAN NURSING DIRECTORATE,SUMMERFIELD HOUSE,2 EDAY ROAD,ABERDEEN,ABERDEENSHIRE,AB15 6RE,20091125,,01224 558427,0
S30171,NHS GRAMPIAN HEART FAILURE NURSING SERVICE,NURSING DIRECTORATE,SUMMERFIELD HOUSE,2 EDAY ROAD,ABERDEEN,ABERDEENSHIRE,AB15 6RE,20130801,,01330 827230,0
S30203,ELMBANK GROUP PRACTICE,FORESTERHILL HEALTH CENTRE,WESTBURN ROAD,,ABERDEEN,ABERDEENSHIRE,AB25 2AY,19830801,,0845 337 071,4
S30218,HAMILTON MEDICAL GROUP,4 QUEENS ROAD,,,ABERDEEN,ABERDEENSHIRE,AB15 4ZT,19790401,,01224 562888,4
S30241,BRIMMOND MEDICAL GROUP,106 INVERURIE ROAD,BUCKSBURN,,ABERDEEN,ABERDEENSHIRE,AB21 9AT,19980101,,01224 713869,4
S30256,BUCKSBURN MEDICAL PRACTICE,BUCKSBURN CLINIC,KEPPLEHILLS ROAD,BUCKSBURN,ABERDEEN,ABERDEENSHIRE,AB21 9DG,19980101,,01224 713927,4
S30261,WESTBURN MEDICAL GROUP,FORESTERHILL HEALTH CENTRE,WESTBURN ROAD,,ABERDEEN,ABERDEENSHIRE,AB25 2AY,19990401,,01224 559595,4
S30275,TORRY MEDICAL PRACTICE,TORRY NEIGHBOURHOOD CENTRE,OSCAR ROAD,,ABERDEEN,ABERDEENSHIRE,AB11 8ER,19990401,,01224 894600,4
S30307,GREAT WESTERN MEDICAL PRACTICE,SEAFIELD ROAD,,,ABERDEEN,ABERDEENSHIRE,AB15 7YT,19791001,,0845 337 054,4
S30401,KINCORTH MEDICAL PRACTIICE,KINCORTH COMMUNITY HEALTH CENTRE,PROVOST WATT DRIVE,,ABERDEEN,ABERDEENSHIRE,AB12 5NA,19780801,,0845 337 117,4
S30504,OLDMACHAR MEDICAL PRACTICE,526 KING STREET,,,ABERDEEN,ABERDEENSHIRE,AB24 5RS,19750701,,0845 3370510,4
S30561,MARYWELL HEALTHCARE CENTRE,90 COLLEGE STREET,,,ABERDEEN,ABERDEENSHIRE,AB11 6FD,20011101,,01224 594108,0
S30627,LINKS MEDICAL PRACTICE,PARK ROAD,,,ABERDEEN,ABERDEENSHIRE,AB24 5AU,19981101,,0845 337 634,4
S30701,CALSAYSEAT MEDICAL GROUP,44 POWIS PLACE,,,ABERDEEN,ABERDEENSHIRE,AB25 3TX,19750801,,0845 3376370,4
S30769,NORTHFIELD/MASTRICK MEDICAL PRACTICE,NORTHFIELD/MASTRICK CLINIC,QUARRY ROAD,NORTHFIELD,ABERDEEN,ABERDEENSHIRE,AB16 5UW,19980401,,01224 662911,0
S30805,ROSEMOUNT MEDICAL GROUP,ROSEMOUNT MEDICAL PRACTICE,1 VIEW TERRACE,,ABERDEEN,ABERDEENSHIRE,AB25 2RS,19840730,,0845 337 052,4
S30909,ALBYN MEDICAL PRACTICE,THE ALBYN MEDICAL PRACTICE,30 ALBYN PLACE,,ABERDEEN,ABERDEENSHIRE,AB10 1NW,19740801,,01224 586829,4
S30913,OLD ABERDEEN MEDICAL PRACTICE,12 SUNNYBANK ROAD,,,ABERDEEN,ABERDEENSHIRE,AB24 3NG,20040101,,01224 486702,0
S30951,RUBISLAW PLACE MEDICAL GROUP,RUBISLAW MEDICAL GROUP,7 RUBISLAW PLACE,,ABERDEEN,ABERDEENSHIRE,AB10 1QB,19760801,,01224 641968,4
S30971,CARDEN MEDICAL CENTRE,CARDEN HOUSE,CARDEN PLACE,,ABERDEEN,ABERDEENSHIRE,AB10 1UT,19920401,,0845 3376330,4
S31009,VICTORIA STREET MEDICAL GROUP,7 VICTORIA STREET,,,ABERDEEN,ABERDEENSHIRE,AB10 1QW,19871001,,01224 641930,4
S31141,WOODSIDE MEDICAL GROUP,WOODSIDE FOUNTAIN HEALTH CENTRE,GREAT NORTHERN ROAD,,ABERDEEN,ABERDEENSHIRE,AB24 2AS,19991001,,01224 492828,4
S31206,SCOTSTOWN MEDICAL GROUP,CAIRNFOLD ROAD,BRIDGE OF DON,,ABERDEEN,ABERDEENSHIRE,AB22 8LD,19760801,,01224 702149,4
S31211,GILBERT ROAD MEDICAL GROUP,39 GILBERT ROAD,BUCKSBURN,,ABERDEEN,ABERDEENSHIRE,AB21 9AN,19750101,,01224 712138,4
S31230,CULTS MEDICAL GROUP,SOUTH AVENUE,CULTS,,ABERDEEN,ABERDEENSHIRE,AB15 9LQ,19790801,,0845 337 114,4
S31244,PETERCULTER MEDICAL PRACTICE,PETERCULTER HEALTH CENTRE,CORONATION ROAD,,PETERCULTER,ABERDEENSHIRE,AB14 0RP,19720801,,01224 733535,4
